founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
21133,58,Female,14,Technology,8138.0,Good,High,High,1,No,6,Master’s Degree,Married,1.0,Mid,Small,No,No,No,Good,High,Stayed
19781,52,Male,41,Media,5748.0,Good,Low,High,0,Yes,31,High School,Divorced,0.0,Entry,Small,No,No,No,Good,Medium,Left
65797,36,Male,15,Healthcare,6797.0,Good,Low,High,0,Yes,87,Master’s Degree,Married,1.0,Entry,Medium,No,No,No,Poor,Low,Left
24853,28,Male,6,Healthcare,7768.0,Poor,High,Below Average,0,No,99,High School,Married,0.0,Senior,Medium,No,No,No,Fair,Low,Stayed
4653,37,Female,21,Media,6353.0,Poor,Low,Below Average,0,No,20,High School,Married,2.0,Senior,Medium,No,No,Yes,Fair,High,Stayed
55676,57,Female,12,Healthcare,8429.0,Good,High,Average,0,No,90,Associate Degree,Married,1.0,Mid,Medium,No,No,No,Poor,Low,Stayed
44214,19,Male,7,Finance,8928.0,Poor,Medium,Low,0,No,41,Associate Degree,Married,2.0,Senior,Large,No,No,No,Good,Low,Stayed
60637,47,Male,3,Technology,6321.0,Good,High,Average,2,Yes,34,Master’s Degree,Single,0.0,Senior,Medium,No,Yes,Yes,Good,Low,Stayed
17608,45,Female,3,Media,6833.0,Good,High,Average,0,No,73,Master’s Degree,Single,1.0,Entry,Medium,No,No,No,Good,Low,Left
27365,26,Female,11,Healthcare,8198.0,Excellent,Very High,Average,1,Yes,45,Associate Degree,Divorced,3.0,Entry,Medium,No,No,No,Good,Low,Left
42489,36,Female,19,Education,4315.0,Fair,Medium,Average,3,No,95,Bachelor’s Degree,Divorced,0.0,Entry,Medium,Yes,No,No,Excellent,Medium,Stayed
74341,20,Male,11,Healthcare,6606.0,Good,High,Below Average,0,Yes,59,Associate Degree,Married,1.0,Mid,Medium,Yes,No,No,Poor,Medium,Stayed
64190,50,Male,5,Education,3698.0,Fair,High,Average,2,No,85,Master’s Degree,Divorced,0.0,Entry,Medium,No,Yes,No,Good,High,Left
34928,49,Female,1,Finance,10013.0,Poor,Low,Average,0,No,1,High School,Divorced,0.0,Mid,Large,No,No,No,Good,Low,Left
285,34,Male,16,Education,3774.0,Poor,Medium,Average,1,No,92,High School,Single,1.0,Senior,Large,No,No,No,Poor,Low,Left
14732,22,Male,13,Healthcare,7358.0,Good,High,Average,2,No,7,High School,Single,1.0,Mid,Medium,Yes,No,Yes,Good,High,Stayed
73129,30,Male,5,Media,5808.0,Excellent,High,Average,1,No,71,PhD,Divorced,1.0,Entry,Medium,Yes,No,Yes,Excellent,Medium,Stayed
54444,31,Male,7,Healthcare,9336.0,Good,High,High,0,Yes,85,Associate Degree,Married,4.0,Mid,Medium,No,No,No,Fair,Medium,Stayed
46443,45,Male,16,Healthcare,7762.0,Good,High,Average,0,No,63,High School,Divorced,3.0,Mid,Small,Yes,Yes,No,Fair,High,Stayed
59769,31,Female,16,Education,3868.0,Fair,High,Average,3,Yes,4,Bachelor’s Degree,Married,0.0,Entry,Medium,Yes,No,No,Poor,High,Stayed
15689,38,Male,6,Media,6222.0,Good,High,Average,2,No,92,Associate Degree,Married,1.0,Senior,Medium,No,No,No,Good,Very High,Stayed
19933,27,Female,11,Technology,10775.0,Good,High,High,1,Yes,53,Bachelor’s Degree,Married,4.0,Mid,Medium,No,Yes,No,Good,Low,Left
31856,45,Female,4,Healthcare,8628.0,Good,Medium,Average,1,No,68,Master’s Degree,Single,0.0,Entry,Small,No,No,Yes,Good,High,Left
21189,26,Female,13,Media,5523.0,Excellent,Medium,Average,0,No,80,PhD,Married,4.0,Senior,Medium,No,No,No,Good,Low,Stayed
50165,36,Female,23,Technology,8821.0,Fair,Medium,Average,2,No,55,Associate Degree,Single,0.0,Mid,Small,No,No,No,Good,Low,Left
16482,36,Female,10,Media,6424.0,Good,Medium,Average,2,No,8,PhD,Married,2.0,Mid,Small,No,Yes,No,Good,Low,Stayed
122,31,Male,9,Healthcare,7233.0,Good,High,Average,0,No,36,Bachelor’s Degree,Married,1.0,Entry,Medium,No,No,No,Fair,Medium,Left
69819,52,Female,5,Finance,7354.0,Good,High,High,1,Yes,17,Master’s Degree,Married,0.0,Mid,Medium,No,No,No,Poor,High,Stayed
1903,26,Male,2,Healthcare,7966.0,Good,High,Average,4,Yes,69,Master’s Degree,Single,1.0,Senior,Medium,No,No,No,Fair,High,Stayed
42566,50,Female,40,Healthcare,8578.0,Fair,Low,Average,0,Yes,47,Associate Degree,Married,0.0,Entry,Large,Yes,No,No,Fair,Medium,Left
7287,55,Male,22,Healthcare,7950.0,Fair,Very High,Average,0,No,19,Bachelor’s Degree,Married,3.0,Entry,Medium,No,No,No,Good,High,Stayed
55305,37,Female,2,Technology,13478.0,Good,High,Average,0,No,35,PhD,Married,3.0,Entry,Medium,No,No,No,Fair,High,Left
46911,40,Female,25,Technology,10537.0,Good,Medium,Average,3,No,47,PhD,Married,0.0,Mid,Medium,No,No,No,Fair,Low,Stayed
23074,44,Male,14,Media,7358.0,Good,High,Average,1,No,26,Master’s Degree,Married,1.0,Senior,Medium,No,No,No,Good,Medium,Stayed
15371,18,Male,5,Education,4172.0,Fair,High,Average,0,No,90,High School,Married,4.0,Senior,Medium,No,No,No,Poor,Medium,Left
33144,35,Female,20,Media,6392.0,Good,High,Average,0,Yes,76,Bachelor’s Degree,Single,0.0,Senior,Medium,No,No,No,Poor,Medium,Left
11359,36,Female,23,Healthcare,8568.0,Good,Very High,Average,1,No,24,PhD,Married,3.0,Entry,Medium,No,No,No,Excellent,Low,Left
70879,32,Female,24,Healthcare,8023.0,Excellent,Medium,Average,0,No,89,Master’s Degree,Married,0.0,Entry,Small,No,Yes,No,Good,High,Left
34800,54,Female,31,Education,4379.0,Good,High,Average,0,No,16,Bachelor’s Degree,Married,3.0,Mid,Medium,No,No,No,Good,Low,Left
49727,57,Female,3,Education,4720.0,Fair,High,High,2,No,33,Bachelor’s Degree,Married,3.0,Entry,Small,Yes,No,Yes,Fair,Medium,Stayed
36502,25,Male,12,Healthcare,8467.0,Good,High,Average,0,Yes,9,High School,Married,1.0,Entry,Medium,No,No,Yes,Good,Medium,Left
11227,22,Female,5,Finance,9506.0,Excellent,Very High,High,0,No,65,Associate Degree,Married,2.0,Entry,Medium,No,No,No,Good,Medium,Left
31859,31,Male,23,Finance,7358.0,Good,High,Average,1,Yes,85,Master’s Degree,Single,1.0,Entry,Medium,No,No,No,Poor,High,Left
63237,34,Male,23,Education,4984.0,Good,High,Average,2,No,38,PhD,Single,0.0,Entry,Medium,No,No,No,Good,Low,Left
14371,55,Male,46,Media,6316.0,Good,High,Low,3,No,26,Bachelor’s Degree,Married,2.0,Mid,Medium,Yes,No,No,Excellent,Low,Stayed
50896,20,Male,2,Technology,9257.0,Good,High,Average,2,Yes,52,Bachelor’s Degree,Married,0.0,Senior,Medium,No,No,No,Good,Low,Stayed
13620,58,Female,6,Education,7358.0,Good,High,Average,1,No,77,High School,Married,1.0,Senior,Medium,No,No,No,Poor,Low,Stayed
24773,56,Female,25,Technology,7358.0,Good,High,Average,1,No,49,Master’s Degree,Divorced,1.0,Senior,Medium,Yes,Yes,No,Good,Medium,Stayed
62769,53,Male,39,Technology,9066.0,Poor,High,Average,3,No,77,Bachelor’s Degree,Married,3.0,Mid,Medium,No,No,No,Good,Low,Stayed
49615,28,Male,20,Technology,7358.0,Good,High,Average,0,Yes,27,Master’s Degree,Divorced,1.0,Mid,Medium,Yes,No,No,Fair,Medium,Stayed
73822,33,Female,6,Media,6435.0,Fair,Low,Average,3,No,26,Associate Degree,Single,3.0,Mid,Large,No,No,No,Excellent,Very High,Left
36222,53,Male,42,Technology,8149.0,Good,High,Below Average,2,Yes,35,Bachelor’s Degree,Single,1.0,Entry,Medium,No,No,No,Good,High,Left
52280,52,Male,38,Technology,7358.0,Good,High,Average,1,No,45,High School,Divorced,1.0,Entry,Medium,No,No,No,Fair,High,Left
43647,41,Male,18,Technology,11698.0,Excellent,High,Below Average,0,Yes,22,Master’s Degree,Married,5.0,Mid,Small,No,No,Yes,Poor,Low,Stayed
61381,47,Male,38,Healthcare,6770.0,Good,High,Average,0,No,59,Bachelor’s Degree,Single,2.0,Senior,Medium,Yes,Yes,Yes,Fair,Medium,Stayed
42591,42,Female,1,Media,5649.0,Fair,Medium,High,0,No,7,Bachelor’s Degree,Divorced,4.0,Entry,Small,No,No,No,Fair,Medium,Stayed
2924,45,Female,14,Education,5272.0,Good,High,High,0,Yes,21,Master’s Degree,Married,0.0,Senior,Medium,No,No,Yes,Good,Low,Stayed
16258,43,Male,35,Healthcare,7368.0,Poor,High,Low,0,Yes,43,High School,Married,1.0,Entry,Medium,No,No,No,Good,High,Left
39781,25,Male,1,Healthcare,8349.0,Excellent,High,Below Average,1,No,70,Master’s Degree,Married,5.0,Mid,Medium,No,No,Yes,Good,Medium,Stayed
38216,19,Female,5,Healthcare,5771.0,Good,High,Average,0,Yes,93,Master’s Degree,Single,1.0,Mid,Medium,Yes,No,No,Good,Medium,Left
3456,36,Male,23,Healthcare,8545.0,Good,High,High,1,No,31,Bachelor’s Degree,Married,0.0,Mid,Medium,No,No,No,Poor,Low,Left
73741,52,Male,31,Education,4772.0,Fair,Low,Average,1,Yes,53,Bachelor’s Degree,Married,3.0,Mid,Large,Yes,No,No,Good,Medium,Stayed
63639,21,Female,10,Media,6438.0,Good,High,Average,0,No,59,Master’s Degree,Married,1.0,Entry,Small,Yes,No,No,Good,Medium,Stayed
55385,47,Female,10,Media,5015.0,Good,High,Average,0,No,42,High School,Single,0.0,Senior,Large,No,No,Yes,Excellent,Medium,Stayed
19572,29,Female,5,Education,3203.0,Poor,High,Average,0,Yes,4,Bachelor’s Degree,Married,3.0,Mid,Medium,No,No,No,Excellent,Low,Left
55318,25,Male,10,Finance,8862.0,Poor,High,Average,0,No,30,High School,Divorced,0.0,Entry,Medium,No,No,No,Good,Low,Left
29255,47,Female,29,Healthcare,7822.0,Good,High,High,1,Yes,97,Master’s Degree,Married,1.0,Mid,Small,No,No,Yes,Good,Low,Left
36485,31,Female,8,Education,2940.0,Excellent,Low,Average,1,No,60,Master’s Degree,Divorced,1.0,Entry,Large,No,No,No,Fair,Medium,Left
43032,46,Male,20,Education,7358.0,Good,High,Average,2,No,38,High School,Married,1.0,Entry,Medium,No,No,No,Good,High,Left
54219,31,Male,21,Education,5127.0,Good,High,Below Average,3,No,18,Bachelor’s Degree,Single,1.0,Entry,Medium,No,No,No,Fair,High,Left
31106,23,Female,13,Technology,10237.0,Good,High,Average,2,No,42,Associate Degree,Single,1.0,Entry,Large,Yes,No,No,Good,Medium,Left
49775,59,Female,13,Media,6157.0,Fair,Low,Average,1,No,62,Bachelor’s Degree,Single,3.0,Mid,Medium,Yes,No,No,Poor,Medium,Left
44277,39,Female,22,Technology,9578.0,Poor,High,Average,1,No,81,Bachelor’s Degree,Single,3.0,Senior,Small,No,No,No,Good,High,Left
50105,36,Female,3,Media,6120.0,Good,High,Average,2,No,13,High School,Married,4.0,Mid,Medium,No,No,No,Good,Very High,Left
72740,43,Female,8,Education,5214.0,Good,High,Low,1,No,20,Bachelor’s Degree,Married,1.0,Entry,Medium,No,No,Yes,Good,Low,Left
70475,22,Male,2,Technology,12143.0,Poor,Very High,Average,0,Yes,14,Bachelor’s Degree,Divorced,5.0,Mid,Medium,No,No,No,Poor,Low,Stayed
72257,56,Male,15,Healthcare,6576.0,Good,High,Below Average,0,No,47,Bachelor’s Degree,Married,1.0,Mid,Medium,No,No,No,Good,Medium,Left
23830,53,Female,10,Healthcare,10182.0,Good,Very High,High,0,No,78,High School,Single,4.0,Entry,Medium,No,No,No,Good,Medium,Left
70243,51,Male,16,Technology,9243.0,Good,High,Below Average,0,No,2,High School,Divorced,3.0,Entry,Medium,No,No,No,Good,Low,Left
67953,48,Female,36,Healthcare,8524.0,Fair,Very High,Low,2,No,60,Master’s Degree,Married,4.0,Mid,Small,No,No,No,Fair,High,Left
11412,54,Female,18,Media,6665.0,Fair,High,High,0,No,41,Bachelor’s Degree,Single,3.0,Entry,Medium,No,No,No,Good,Medium,Left
31440,42,Female,28,Education,7358.0,Good,High,High,0,Yes,86,Associate Degree,Married,1.0,Entry,Medium,No,No,No,Good,Low,Stayed
28534,41,Male,3,Media,6363.0,Good,High,High,4,No,8,Master’s Degree,Married,1.0,Senior,Small,No,No,No,Poor,Low,Stayed
29589,50,Male,13,Healthcare,7693.0,Good,Very High,Below Average,1,No,2,Associate Degree,Single,4.0,Entry,Large,No,No,No,Fair,Medium,Stayed
32721,42,Female,32,Technology,9087.0,Good,High,High,0,No,83,PhD,Married,1.0,Senior,Medium,No,No,No,Poor,Low,Stayed
25698,30,Female,18,Healthcare,7358.0,Good,High,Below Average,3,No,30,Master’s Degree,Single,1.0,Entry,Medium,Yes,No,No,Excellent,Medium,Stayed
28194,38,Male,11,Healthcare,7358.0,Good,High,Average,1,Yes,3,Bachelor’s Degree,Married,1.0,Senior,Medium,Yes,No,Yes,Good,High,Stayed
1437,46,Female,6,Healthcare,8119.0,Poor,High,Average,2,Yes,55,Bachelor’s Degree,Single,2.0,Mid,Medium,No,No,No,Fair,Medium,Left
34921,59,Male,24,Media,6251.0,Excellent,High,High,1,No,21,Associate Degree,Married,1.0,Entry,Large,Yes,No,No,Excellent,Medium,Stayed
15984,40,Female,3,Finance,7358.0,Good,High,Below Average,0,No,13,Bachelor’s Degree,Single,1.0,Entry,Medium,No,No,Yes,Excellent,Medium,Left
9624,34,Male,25,Technology,9736.0,Good,High,High,0,Yes,75,PhD,Divorced,1.0,Entry,Medium,No,Yes,Yes,Fair,Medium,Left
42569,47,Male,25,Education,3215.0,Good,Very High,Average,0,No,97,Bachelor’s Degree,Married,1.0,Entry,Large,Yes,No,No,Good,Medium,Stayed
28008,47,Female,8,Healthcare,8329.0,Good,High,Below Average,3,No,83,Bachelor’s Degree,Single,2.0,Entry,Small,No,No,No,Poor,High,Left
66872,56,Male,17,Education,4416.0,Fair,High,Average,0,Yes,60,High School,Divorced,0.0,Mid,Large,Yes,No,No,Good,High,Stayed
37699,32,Female,9,Technology,8145.0,Good,High,Average,0,Yes,79,Master’s Degree,Married,2.0,Entry,Medium,Yes,No,Yes,Good,Medium,Left
32808,36,Female,4,Finance,9980.0,Fair,High,Average,0,No,71,Bachelor’s Degree,Married,0.0,Senior,Small,No,No,No,Good,High,Left
64521,38,Female,11,Media,7358.0,Good,High,High,0,No,60,High School,Married,1.0,Entry,Medium,No,No,No,Poor,Low,Stayed
24816,32,Female,2,Technology,8370.0,Fair,High,Average,0,No,4,Master’s Degree,Married,5.0,Entry,Large,No,No,No,Poor,Low,Left
19772,44,Female,1,Technology,7358.0,Good,High,Average,1,Yes,55,Associate Degree,Married,1.0,Mid,Medium,No,No,No,Fair,Low,Stayed
27962,57,Female,25,Media,6636.0,Poor,Medium,Average,2,No,71,Associate Degree,Single,0.0,Entry,Small,No,No,Yes,Excellent,Low,Left
48055,49,Female,20,Healthcare,9778.0,Excellent,Medium,Average,1,Yes,55,Associate Degree,Married,0.0,Entry,Medium,No,No,Yes,Excellent,Low,Stayed
26675,35,Male,12,Finance,10325.0,Fair,High,Average,1,No,37,Associate Degree,Married,1.0,Entry,Small,No,No,No,Poor,Low,Left
56992,30,Male,20,Education,7358.0,Good,High,Average,0,No,63,High School,Single,1.0,Mid,Medium,No,No,Yes,Good,Medium,Stayed
25812,53,Male,22,Healthcare,7182.0,Excellent,Very High,Average,1,No,76,Bachelor’s Degree,Married,1.0,Entry,Small,No,No,No,Excellent,Very High,Stayed
59117,22,Male,4,Healthcare,6426.0,Good,Medium,Average,2,No,22,Master’s Degree,Married,0.0,Senior,Small,Yes,No,No,Excellent,High,Stayed
12283,24,Female,12,Healthcare,7733.0,Good,High,Average,0,Yes,34,Bachelor’s Degree,Married,2.0,Entry,Medium,No,No,Yes,Good,Medium,Left
55044,57,Female,10,Technology,9634.0,Excellent,Very High,Average,0,No,2,Master’s Degree,Divorced,2.0,Mid,Medium,Yes,No,No,Fair,High,Stayed
16654,20,Male,12,Healthcare,7358.0,Good,High,Average,0,No,81,Bachelor’s Degree,Single,1.0,Mid,Medium,Yes,No,No,Poor,Low,Stayed
21012,53,Male,41,Finance,7358.0,Good,High,Below Average,0,No,24,Master’s Degree,Single,1.0,Entry,Medium,No,No,No,Good,High,Left
33192,39,Male,1,Technology,6622.0,Poor,High,Average,0,No,73,Bachelor’s Degree,Single,2.0,Mid,Medium,Yes,No,No,Good,High,Stayed
55082,51,Female,1,Technology,9574.0,Good,Very High,High,1,No,60,High School,Divorced,3.0,Mid,Medium,No,No,No,Excellent,Medium,Left
7840,48,Male,35,Media,7358.0,Good,High,High,1,No,94,Master’s Degree,Married,1.0,Entry,Medium,No,No,No,Good,High,Stayed
4552,24,Male,11,Technology,10581.0,Good,High,Average,0,Yes,83,Bachelor’s Degree,Divorced,0.0,Mid,Medium,No,No,No,Good,Low,Left
31347,21,Female,11,Media,6009.0,Good,High,Below Average,0,No,90,High School,Married,1.0,Senior,Small,No,No,No,Fair,High,Stayed
16786,55,Female,39,Technology,10791.0,Good,High,Below Average,0,No,19,Bachelor’s Degree,Single,3.0,Senior,Medium,No,No,No,Fair,Low,Stayed
69604,58,Male,46,Healthcare,7700.0,Good,High,High,0,No,25,High School,Married,2.0,Mid,Medium,No,No,Yes,Good,Low,Stayed
67120,46,Male,4,Healthcare,8352.0,Good,High,Below Average,2,No,39,Master’s Degree,Married,1.0,Entry,Medium,Yes,No,Yes,Fair,Low,Stayed
34323,54,Female,30,Technology,7358.0,Good,High,Average,0,No,12,Bachelor’s Degree,Single,1.0,Entry,Medium,No,No,No,Excellent,Very High,Left
40987,21,Female,3,Healthcare,7518.0,Fair,High,Average,0,No,57,High School,Single,3.0,Entry,Medium,Yes,No,No,Good,Very High,Left
43200,58,Male,2,Education,5799.0,Excellent,High,Average,1,Yes,33,Bachelor’s Degree,Married,2.0,Mid,Medium,No,No,No,Good,Low,Left
18607,43,Male,3,Finance,9456.0,Good,High,Average,2,No,32,Master’s Degree,Married,0.0,Senior,Large,Yes,No,No,Good,Very High,Stayed
51225,44,Female,14,Technology,9648.0,Poor,High,Average,2,Yes,91,Associate Degree,Single,3.0,Mid,Medium,No,No,No,Good,Medium,Left
18429,37,Female,3,Healthcare,8883.0,Good,High,Average,2,No,27,Master’s Degree,Married,1.0,Senior,Small,No,No,Yes,Fair,High,Stayed
40772,26,Female,2,Finance,10311.0,Good,High,Below Average,2,No,98,Master’s Degree,Single,1.0,Mid,Medium,No,No,No,Good,Low,Left
55262,25,Male,16,Media,6729.0,Poor,Very High,Average,1,No,10,Associate Degree,Divorced,1.0,Entry,Medium,No,No,No,Fair,High,Left
1092,24,Male,7,Education,3642.0,Excellent,Medium,High,0,No,69,PhD,Married,2.0,Mid,Small,No,No,No,Fair,Low,Stayed
261,55,Male,36,Technology,12810.0,Good,High,Average,0,No,47,Bachelor’s Degree,Married,4.0,Entry,Small,Yes,No,No,Poor,Low,Stayed
60553,54,Female,30,Education,3822.0,Fair,High,Average,0,No,59,High School,Married,1.0,Entry,Medium,Yes,No,No,Fair,Low,Left
21827,25,Female,1,Technology,7358.0,Good,High,Average,2,No,58,Bachelor’s Degree,Married,1.0,Mid,Medium,No,Yes,No,Fair,Very High,Left
63271,52,Male,20,Media,6034.0,Good,High,Average,1,Yes,17,Master’s Degree,Divorced,0.0,Senior,Small,Yes,No,No,Fair,Low,Stayed
67570,34,Male,26,Media,6072.0,Good,High,Average,2,Yes,35,High School,Single,1.0,Entry,Medium,No,Yes,Yes,Good,Low,Left
52445,59,Male,20,Healthcare,7681.0,Good,High,Average,1,Yes,87,High School,Married,0.0,Entry,Medium,No,No,No,Good,Low,Left
4323,53,Male,7,Media,7358.0,Good,High,Average,2,Yes,52,Associate Degree,Single,1.0,Entry,Medium,No,No,No,Good,Low,Left
30494,30,Male,13,Media,4983.0,Fair,High,Average,2,No,18,High School,Divorced,2.0,Mid,Medium,No,No,Yes,Fair,High,Stayed
74185,36,Female,12,Technology,7358.0,Good,High,High,0,Yes,73,Bachelor’s Degree,Single,1.0,Mid,Medium,Yes,No,No,Good,Low,Left
69127,57,Female,29,Education,5639.0,Good,High,Average,0,Yes,16,Bachelor’s Degree,Married,5.0,Senior,Medium,No,No,No,Good,Medium,Stayed
14574,49,Male,32,Finance,10091.0,Good,High,High,0,No,81,Master’s Degree,Married,4.0,Entry,Medium,No,No,No,Good,High,Stayed
53991,22,Male,2,Education,4443.0,Good,High,Average,2,No,36,Master’s Degree,Married,1.0,Entry,Medium,No,No,No,Poor,Low,Stayed
25205,36,Male,18,Healthcare,9367.0,Good,High,High,0,No,99,PhD,Single,4.0,Mid,Large,No,No,No,Good,Medium,Stayed
17929,25,Male,16,Media,6195.0,Good,High,Average,0,Yes,55,Master’s Degree,Married,1.0,Entry,Large,No,No,No,Fair,Medium,Left
51638,20,Male,5,Finance,12627.0,Good,High,Below Average,1,Yes,91,Associate Degree,Married,1.0,Mid,Medium,No,No,No,Excellent,High,Left
11474,39,Male,7,Healthcare,8909.0,Good,High,Average,0,Yes,48,High School,Married,1.0,Mid,Medium,No,No,No,Poor,Medium,Stayed
71280,36,Male,8,Education,5442.0,Fair,Low,High,0,Yes,94,Bachelor’s Degree,Divorced,5.0,Mid,Medium,No,No,No,Excellent,High,Left
66579,28,Female,12,Technology,7358.0,Good,High,Average,2,No,37,High School,Married,1.0,Mid,Medium,No,No,No,Good,Low,Stayed
57750,51,Female,22,Media,5916.0,Good,High,Average,2,No,98,Associate Degree,Divorced,4.0,Entry,Small,No,No,No,Excellent,Low,Stayed
64269,31,Female,13,Education,7358.0,Good,High,Average,1,No,75,Associate Degree,Single,1.0,Senior,Medium,No,No,No,Fair,Low,Left
26496,51,Female,37,Education,5511.0,Good,High,High,0,No,89,Bachelor’s Degree,Single,0.0,Mid,Small,No,No,No,Good,High,Left
17020,26,Male,6,Media,5889.0,Good,High,High,1,Yes,40,Bachelor’s Degree,Divorced,1.0,Entry,Medium,Yes,No,Yes,Good,Medium,Stayed
75,41,Male,22,Finance,7085.0,Good,Medium,Average,1,Yes,60,Associate Degree,Single,3.0,Mid,Medium,Yes,No,No,Good,Medium,Left
32800,31,Male,11,Education,3519.0,Good,High,High,1,No,39,Associate Degree,Single,2.0,Senior,Small,No,No,No,Excellent,High,Stayed
24175,25,Male,8,Education,4827.0,Good,High,Average,2,No,24,Associate Degree,Married,1.0,Entry,Medium,Yes,No,Yes,Excellent,High,Stayed
13267,53,Female,39,Education,4615.0,Excellent,High,Average,0,Yes,98,Master’s Degree,Married,1.0,Senior,Medium,Yes,Yes,No,Good,Low,Stayed
21347,55,Male,6,Education,5411.0,Fair,High,Average,2,No,74,Bachelor’s Degree,Single,1.0,Mid,Large,No,No,No,Good,Very High,Left
5793,38,Female,4,Media,6278.0,Good,Medium,Average,0,No,64,PhD,Single,0.0,Entry,Large,No,No,No,Good,Low,Left
16320,34,Female,16,Technology,8852.0,Fair,High,Average,0,No,83,Associate Degree,Single,1.0,Entry,Small,No,No,No,Good,Low,Left
6270,23,Male,15,Technology,7358.0,Good,High,Average,0,No,38,Bachelor’s Degree,Single,1.0,Senior,Medium,No,No,No,Good,High,Stayed
43403,22,Female,5,Finance,7405.0,Poor,High,High,0,No,58,Associate Degree,Single,2.0,Entry,Large,No,No,No,Poor,Low,Left
38982,56,Female,44,Education,4801.0,Good,High,High,2,No,38,Associate Degree,Married,3.0,Mid,Medium,No,No,Yes,Good,High,Stayed
16554,22,Female,14,Healthcare,8194.0,Good,Very High,Average,0,No,29,Associate Degree,Married,0.0,Entry,Large,No,No,No,Fair,Medium,Left
45142,25,Female,4,Media,5192.0,Good,High,High,0,Yes,91,High School,Single,1.0,Mid,Medium,No,No,Yes,Good,Low,Left
35422,43,Male,19,Education,2674.0,Poor,Medium,Average,0,Yes,69,Master’s Degree,Married,3.0,Mid,Medium,Yes,No,No,Poor,Low,Stayed
25850,51,Female,27,Healthcare,6349.0,Fair,Medium,Average,0,No,50,PhD,Married,0.0,Mid,Medium,No,No,No,Good,High,Stayed
28677,52,Male,22,Finance,8110.0,Good,High,Average,1,Yes,89,Master’s Degree,Married,1.0,Mid,Large,No,No,No,Good,Low,Stayed
58123,40,Female,25,Education,5747.0,Poor,Medium,Average,0,No,66,Associate Degree,Married,3.0,Mid,Small,No,No,No,Good,Low,Left
24903,59,Female,44,Technology,9923.0,Good,High,Average,1,Yes,91,Master’s Degree,Married,5.0,Mid,Medium,No,No,No,Excellent,High,Stayed
5621,56,Female,32,Technology,7998.0,Good,Low,Below Average,0,Yes,95,Bachelor’s Degree,Married,2.0,Entry,Medium,No,No,No,Fair,Medium,Left
44065,43,Female,28,Media,6342.0,Fair,Medium,Average,2,No,24,Associate Degree,Married,0.0,Senior,Medium,No,No,No,Good,Medium,Stayed
21056,43,Male,19,Media,7358.0,Good,High,Average,0,Yes,22,High School,Single,1.0,Senior,Medium,No,No,No,Poor,Low,Left
