founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
65212,58,Male,6,Healthcare,8762.0,Fair,High,High,0,Yes,72,Bachelor’s Degree,Married,0.0,Entry,Small,38.0,No,No,No,Good,Medium,Left
20242,37,Female,7,Media,6099.0,Good,High,High,0,No,19,Bachelor’s Degree,Married,0.0,Senior,Small,16.0,Yes,No,No,Excellent,Low,Stayed
29475,58,Female,14,Technology,9501.0,Fair,Medium,Average,1,Yes,56,Bachelor’s Degree,Single,4.0,Entry,Large,52.0,No,No,No,Poor,Medium,Left
21012,53,Male,41,Finance,7371.0,Good,High,Below Average,0,No,24,Master’s Degree,Single,1.0,Entry,Medium,27.0,No,No,No,Good,High,Left
42659,46,Female,9,Education,4237.0,Good,High,Average,0,Yes,36,Bachelor’s Degree,Married,1.0,Senior,Large,27.0,No,No,No,Poor,Medium,Left
47934,45,Male,9,Education,6437.0,Fair,High,High,1,No,53,Associate Degree,Married,4.0,Mid,Medium,31.0,No,No,No,Poor,Medium,Left
29637,55,Male,40,Healthcare,9177.0,Good,High,Below Average,0,No,65,Associate Degree,Single,1.0,Mid,Medium,27.0,No,No,No,Excellent,Low,Left
4856,59,Female,30,Technology,10166.0,Good,High,Average,1,No,32,Associate Degree,Married,1.0,Entry,Medium,27.0,No,No,No,Good,High,Left
370,59,Male,45,Technology,10030.0,Good,Low,Average,2,No,64,High School,Married,3.0,Mid,Large,52.0,No,No,No,Poor,Low,Left
25774,54,Male,2,Healthcare,8736.0,Good,Very High,Average,0,Yes,86,Associate Degree,Single,1.0,Entry,Small,5.0,No,No,No,Poor,Low,Left
23689,20,Female,3,Technology,10943.0,Poor,High,Below Average,0,No,62,Associate Degree,Single,0.0,Entry,Medium,15.0,No,No,No,Fair,Medium,Left
18495,40,Male,4,Media,6426.0,Good,High,Average,0,No,13,Bachelor’s Degree,Married,1.0,Entry,Medium,10.0,No,No,No,Excellent,Medium,Left
13011,47,Male,1,Technology,8723.0,Good,Very High,High,2,No,73,High School,Married,1.0,Senior,Small,32.0,No,No,No,Fair,Low,Stayed
34213,21,Male,13,Healthcare,9152.0,Good,High,Average,0,No,60,Bachelor’s Degree,Married,1.0,Entry,Medium,27.0,Yes,No,No,Good,Very High,Stayed
36546,52,Male,19,Education,3625.0,Good,High,Average,1,No,54,High School,Married,2.0,Mid,Small,32.0,No,No,No,Good,Low,Stayed
46298,42,Male,26,Education,4205.0,Good,High,Average,1,No,89,Master’s Degree,Single,3.0,Senior,Medium,39.0,No,No,No,Fair,High,Stayed
37508,53,Male,41,Education,4373.0,Fair,High,Average,2,Yes,91,Master’s Degree,Married,4.0,Mid,Medium,53.0,No,No,No,Poor,Medium,Left
19528,39,Male,3,Media,5891.0,Good,Low,Average,2,Yes,88,High School,Divorced,4.0,Mid,Small,9.0,No,No,No,Good,Medium,Left
69121,22,Female,9,Finance,8376.0,Fair,High,Below Average,3,No,46,High School,Single,1.0,Mid,Medium,11.0,No,No,No,Good,Medium,Left
4392,56,Female,6,Finance,6954.0,Good,High,Average,1,No,65,Bachelor’s Degree,Married,2.0,Entry,Small,17.0,Yes,No,No,Good,Medium,Left
6112,51,Female,33,Technology,7647.0,Good,Low,Average,1,Yes,6,High School,Married,1.0,Mid,Small,44.0,No,No,No,Fair,Low,Left
19879,24,Male,8,Education,5652.0,Good,High,High,0,No,76,High School,Married,1.0,Senior,Small,23.0,No,No,No,Fair,Medium,Stayed
58518,52,Male,26,Technology,7306.0,Good,Low,Average,0,Yes,19,High School,Single,3.0,Entry,Small,35.0,Yes,No,No,Fair,Low,Stayed
1127,45,Male,6,Technology,11421.0,Poor,High,Average,1,No,18,Bachelor’s Degree,Divorced,4.0,Mid,Small,27.0,Yes,No,Yes,Good,Low,Stayed
37737,51,Male,10,Education,3755.0,Good,High,Average,0,No,61,High School,Divorced,1.0,Entry,Medium,26.0,No,No,No,Good,Medium,Left
8386,51,Male,22,Media,5405.0,Excellent,Medium,Average,1,No,57,Master’s Degree,Married,3.0,Entry,Small,27.0,No,No,No,Fair,Medium,Stayed
37320,58,Male,2,Media,6363.0,Fair,High,Average,2,No,19,High School,Married,2.0,Mid,Large,27.0,No,No,No,Poor,Medium,Stayed
3777,45,Female,10,Media,5475.0,Good,High,Average,0,No,99,High School,Married,0.0,Mid,Medium,26.0,No,No,No,Good,Medium,Stayed
62193,38,Female,7,Media,6160.0,Good,High,Average,2,No,53,Bachelor’s Degree,Married,4.0,Entry,Medium,24.0,No,No,No,Good,High,Stayed
65915,41,Female,29,Media,7371.0,Good,High,Average,0,No,78,Bachelor’s Degree,Married,1.0,Entry,Medium,27.0,No,No,Yes,Poor,High,Left
48390,51,Female,16,Technology,8988.0,Good,High,Below Average,1,Yes,94,High School,Married,1.0,Entry,Small,36.0,No,No,No,Good,High,Stayed
46731,28,Male,4,Technology,9892.0,Good,Medium,High,2,No,9,Associate Degree,Single,4.0,Entry,Medium,20.0,No,No,No,Good,Very High,Left
21668,27,Female,12,Finance,9249.0,Fair,Low,Average,0,Yes,32,Bachelor’s Degree,Single,0.0,Entry,Large,22.0,No,No,No,Poor,Very High,Left
2631,59,Male,40,Healthcare,8328.0,Good,Very High,High,0,No,46,Associate Degree,Single,0.0,Entry,Small,44.0,No,No,Yes,Poor,Low,Left
9740,50,Male,42,Technology,7639.0,Good,High,High,0,No,91,High School,Married,0.0,Entry,Medium,49.0,No,No,No,Good,High,Left
33249,47,Female,16,Technology,9128.0,Good,High,High,1,No,90,PhD,Divorced,3.0,Senior,Small,17.0,No,No,No,Good,High,Stayed
32739,51,Male,28,Healthcare,7345.0,Good,High,Average,1,No,43,High School,Single,1.0,Entry,Medium,29.0,No,No,No,Poor,Low,Left
56992,30,Male,20,Education,7371.0,Good,High,Average,0,No,63,High School,Single,1.0,Mid,Medium,27.0,No,No,Yes,Good,Medium,Stayed
39770,55,Male,8,Finance,12985.0,Fair,Very High,Below Average,2,No,41,Master’s Degree,Married,4.0,Mid,Medium,22.0,No,No,No,Fair,Low,Left
44027,27,Female,2,Media,5196.0,Excellent,Very High,Below Average,1,No,75,Bachelor’s Degree,Married,1.0,Mid,Large,18.0,No,No,No,Poor,Low,Left
11070,50,Male,36,Education,7371.0,Good,High,Average,1,No,59,Bachelor’s Degree,Married,1.0,Mid,Medium,27.0,Yes,No,No,Fair,Medium,Stayed
36084,36,Female,9,Healthcare,9055.0,Excellent,High,Average,0,No,61,Bachelor’s Degree,Divorced,4.0,Mid,Large,24.0,Yes,No,Yes,Good,Medium,Stayed
10766,34,Male,10,Finance,7371.0,Good,High,Average,0,No,76,Associate Degree,Married,1.0,Entry,Medium,27.0,Yes,No,No,Good,Low,Stayed
23154,42,Female,6,Healthcare,7741.0,Excellent,High,Average,0,No,4,Master’s Degree,Divorced,3.0,Entry,Small,28.0,No,No,No,Good,High,Stayed
57096,26,Male,17,Media,6523.0,Good,High,High,2,Yes,85,Master’s Degree,Single,1.0,Entry,Medium,27.0,Yes,No,Yes,Good,High,Left
21808,44,Male,31,Media,6033.0,Poor,Very High,High,2,No,28,Associate Degree,Married,0.0,Mid,Large,38.0,Yes,No,No,Poor,Medium,Stayed
68269,25,Female,10,Media,7371.0,Good,High,Average,0,No,50,Master’s Degree,Single,1.0,Mid,Medium,27.0,No,No,No,Poor,Medium,Left
2806,55,Male,33,Education,4831.0,Good,High,Low,0,Yes,63,High School,Married,5.0,Senior,Small,50.0,No,No,No,Poor,Medium,Left
37357,59,Male,30,Education,5520.0,Poor,Very High,Average,0,No,50,Bachelor’s Degree,Single,0.0,Mid,Medium,58.0,No,No,No,Good,High,Left
66517,58,Female,17,Education,4952.0,Good,High,High,2,No,49,Bachelor’s Degree,Single,1.0,Mid,Small,28.0,No,No,No,Excellent,Medium,Left
66253,39,Male,13,Healthcare,8976.0,Good,High,Below Average,4,No,82,Master’s Degree,Divorced,0.0,Entry,Medium,25.0,No,No,No,Good,Medium,Stayed
26339,32,Female,13,Education,3951.0,Good,High,Average,0,No,56,PhD,Single,1.0,Mid,Medium,27.0,No,No,No,Good,Low,Left
47491,33,Female,11,Technology,7371.0,Good,High,High,2,Yes,97,Bachelor’s Degree,Single,1.0,Senior,Medium,27.0,No,No,No,Fair,Medium,Stayed
69251,43,Male,20,Technology,10994.0,Good,Medium,Average,2,No,7,PhD,Single,3.0,Entry,Medium,24.0,No,No,No,Fair,Low,Stayed
62819,34,Male,19,Healthcare,7371.0,Good,High,Average,2,Yes,12,Bachelor’s Degree,Married,1.0,Mid,Medium,27.0,No,No,Yes,Poor,Low,Left
37344,55,Male,5,Media,5788.0,Good,High,Average,0,No,63,Master’s Degree,Divorced,1.0,Senior,Medium,13.0,No,No,No,Poor,High,Stayed
18339,50,Male,14,Technology,9495.0,Good,Medium,Average,2,Yes,96,Associate Degree,Single,0.0,Entry,Medium,23.0,Yes,No,No,Good,Medium,Left
53500,58,Male,4,Technology,8151.0,Good,High,Average,0,No,15,High School,Married,1.0,Mid,Small,8.0,Yes,No,No,Good,Low,Stayed
26495,24,Male,9,Technology,7371.0,Good,High,Average,0,No,11,High School,Single,1.0,Senior,Medium,27.0,Yes,No,No,Good,Medium,Stayed
34214,55,Male,2,Education,3553.0,Good,High,Average,0,Yes,59,Bachelor’s Degree,Single,2.0,Entry,Small,28.0,No,No,No,Good,High,Left
44909,44,Male,1,Education,3288.0,Good,Medium,Average,0,No,10,PhD,Married,4.0,Mid,Medium,38.0,No,No,No,Poor,Low,Stayed
34195,59,Male,16,Healthcare,8392.0,Fair,Medium,Average,1,No,17,Master’s Degree,Married,0.0,Mid,Medium,26.0,No,No,No,Good,Very High,Stayed
71455,32,Female,21,Healthcare,7104.0,Good,Low,Below Average,2,No,31,High School,Married,0.0,Entry,Large,25.0,No,No,Yes,Fair,Low,Left
51855,33,Female,3,Education,3815.0,Good,High,High,1,No,6,Bachelor’s Degree,Married,1.0,Senior,Medium,27.0,Yes,No,No,Good,Low,Stayed
51355,58,Male,9,Technology,5532.0,Good,High,Average,1,Yes,4,Bachelor’s Degree,Divorced,1.0,Mid,Medium,19.0,Yes,No,No,Good,Medium,Stayed
17833,29,Male,7,Finance,6932.0,Fair,Medium,High,3,No,44,High School,Married,1.0,Senior,Medium,17.0,Yes,No,No,Good,High,Stayed
16312,57,Female,14,Education,5795.0,Good,High,High,3,No,3,Associate Degree,Married,1.0,Senior,Medium,27.0,No,No,Yes,Fair,Medium,Stayed
37898,46,Male,38,Healthcare,7244.0,Good,High,Average,0,Yes,48,PhD,Married,3.0,Mid,Small,46.0,No,No,Yes,Poor,Low,Stayed
29564,42,Male,6,Technology,8405.0,Good,High,Average,1,No,55,Master’s Degree,Single,1.0,Mid,Medium,27.0,No,No,No,Poor,High,Left
20371,36,Female,23,Technology,10442.0,Poor,High,Average,0,No,47,High School,Single,1.0,Senior,Medium,30.0,No,No,No,Good,Medium,Stayed
29598,37,Female,9,Technology,10730.0,Good,High,Average,1,No,21,Master’s Degree,Married,0.0,Mid,Small,36.0,No,No,No,Poor,Low,Stayed
3232,28,Male,7,Finance,7655.0,Fair,High,Average,3,No,30,Associate Degree,Single,2.0,Mid,Small,14.0,No,Yes,No,Excellent,Medium,Stayed
35125,48,Male,10,Finance,7049.0,Good,Medium,High,1,No,38,Master’s Degree,Single,0.0,Senior,Small,31.0,No,No,No,Fair,High,Stayed
25430,47,Male,1,Technology,9605.0,Good,High,Average,0,No,69,High School,Single,0.0,Senior,Large,16.0,No,No,No,Fair,High,Left
30097,38,Male,2,Education,4098.0,Good,Medium,Average,2,No,77,High School,Divorced,0.0,Mid,Medium,15.0,No,No,No,Excellent,Medium,Left
50515,59,Male,15,Education,5154.0,Excellent,High,Average,0,No,49,PhD,Divorced,0.0,Senior,Medium,49.0,No,No,Yes,Poor,Very High,Stayed
45188,48,Female,18,Technology,8762.0,Fair,Very High,Average,0,No,54,Bachelor’s Degree,Single,4.0,Entry,Small,47.0,No,No,No,Good,High,Left
30456,20,Female,7,Education,4647.0,Excellent,Low,Average,0,Yes,13,Associate Degree,Single,1.0,Entry,Medium,15.0,No,No,No,Fair,High,Left
65606,39,Female,6,Technology,9452.0,Good,High,Average,1,Yes,65,Master’s Degree,Married,1.0,Entry,Medium,8.0,No,No,Yes,Good,High,Stayed
65550,31,Male,10,Finance,8351.0,Fair,High,Average,0,No,53,Bachelor’s Degree,Married,2.0,Entry,Large,28.0,No,No,No,Good,Medium,Stayed
48442,44,Male,17,Healthcare,7852.0,Good,Medium,Average,0,No,14,Associate Degree,Married,0.0,Mid,Medium,31.0,Yes,No,No,Good,Medium,Stayed
6749,24,Female,4,Media,5353.0,Fair,Very High,Average,2,No,64,PhD,Single,4.0,Entry,Small,7.0,No,No,Yes,Fair,Low,Left
27020,35,Female,4,Technology,10228.0,Good,High,Average,0,No,49,High School,Single,1.0,Mid,Medium,11.0,No,No,No,Fair,Low,Left
4388,53,Male,15,Education,4918.0,Good,High,Average,1,Yes,69,Associate Degree,Married,4.0,Mid,Medium,45.0,No,No,No,Good,Low,Left
42687,19,Female,4,Education,2989.0,Fair,Very High,Average,3,Yes,79,PhD,Married,1.0,Senior,Medium,10.0,No,No,Yes,Good,High,Stayed
68838,24,Female,7,Media,6606.0,Excellent,High,Average,1,No,83,Master’s Degree,Married,0.0,Senior,Medium,13.0,No,No,No,Good,Medium,Stayed
70466,38,Male,8,Healthcare,7973.0,Fair,High,Low,0,Yes,38,Master’s Degree,Married,0.0,Mid,Medium,21.0,No,No,No,Good,High,Left
8417,48,Male,13,Healthcare,7175.0,Poor,High,Below Average,0,No,75,Associate Degree,Married,2.0,Mid,Medium,29.0,No,No,No,Fair,Low,Left
1671,58,Male,2,Technology,8080.0,Poor,Very High,Average,0,No,85,Bachelor’s Degree,Married,0.0,Mid,Small,15.0,No,No,No,Good,High,Left
43721,28,Male,13,Finance,9098.0,Good,High,Low,0,Yes,37,PhD,Single,1.0,Senior,Medium,27.0,No,No,Yes,Poor,Low,Stayed
4566,48,Male,4,Education,4571.0,Poor,High,Low,4,No,29,High School,Married,4.0,Senior,Medium,25.0,No,No,Yes,Fair,Low,Stayed
73165,42,Male,5,Media,5704.0,Fair,Medium,High,2,Yes,92,High School,Married,3.0,Entry,Small,11.0,No,No,No,Good,Very High,Left
713,19,Male,9,Technology,9210.0,Fair,Medium,Low,0,No,60,Associate Degree,Married,0.0,Mid,Medium,14.0,No,No,No,Fair,Low,Stayed
22380,54,Male,2,Finance,7114.0,Good,High,Average,1,No,26,Associate Degree,Married,1.0,Mid,Medium,28.0,No,No,No,Poor,Low,Left
37553,25,Female,5,Finance,9146.0,Excellent,Medium,Average,1,No,75,Associate Degree,Divorced,0.0,Mid,Large,25.0,No,No,No,Good,Low,Stayed
34591,57,Male,38,Technology,8455.0,Good,High,Average,0,No,26,PhD,Married,0.0,Mid,Small,48.0,No,Yes,No,Good,High,Stayed
65694,36,Female,7,Education,2075.0,Good,High,Below Average,2,Yes,82,Bachelor’s Degree,Single,3.0,Mid,Small,9.0,No,No,No,Good,High,Left
61008,38,Female,3,Education,7371.0,Good,High,Average,0,No,34,Associate Degree,Single,1.0,Mid,Medium,27.0,No,No,No,Fair,High,Stayed
29773,33,Male,7,Technology,10114.0,Fair,High,High,0,No,53,PhD,Divorced,1.0,Entry,Medium,14.0,No,No,No,Good,Low,Left
29910,39,Male,10,Media,6612.0,Fair,Medium,Below Average,3,No,51,Associate Degree,Married,1.0,Mid,Large,21.0,No,No,No,Good,Medium,Left
46795,52,Female,17,Finance,6507.0,Fair,High,Average,0,Yes,27,Associate Degree,Single,1.0,Entry,Small,37.0,No,No,No,Good,Low,Left
44795,53,Male,15,Technology,9512.0,Fair,Medium,Average,1,Yes,50,Associate Degree,Divorced,0.0,Entry,Large,42.0,No,No,No,Good,Medium,Left
32775,59,Female,36,Education,4113.0,Poor,High,High,0,Yes,48,High School,Married,4.0,Mid,Medium,41.0,No,No,Yes,Fair,Medium,Left
38308,47,Male,25,Media,5673.0,Good,High,Low,2,Yes,76,Master’s Degree,Divorced,1.0,Mid,Medium,27.0,Yes,No,No,Excellent,Low,Left
7636,33,Female,21,Education,7371.0,Good,High,Below Average,2,No,50,Associate Degree,Divorced,1.0,Entry,Medium,27.0,No,No,No,Good,High,Left
12430,29,Female,16,Education,5682.0,Good,High,Average,2,No,33,Associate Degree,Single,0.0,Mid,Medium,19.0,No,Yes,No,Good,High,Left
50440,21,Male,3,Healthcare,8722.0,Good,High,Average,0,Yes,61,Associate Degree,Single,1.0,Mid,Large,27.0,No,No,No,Excellent,Medium,Left
59180,56,Male,14,Media,5686.0,Good,High,Average,2,No,56,High School,Married,1.0,Senior,Medium,27.0,No,No,Yes,Fair,Medium,Stayed
46946,31,Male,6,Education,7371.0,Good,High,Average,2,No,44,Associate Degree,Single,1.0,Entry,Medium,27.0,Yes,No,No,Good,Low,Left
9283,56,Female,4,Healthcare,10616.0,Fair,Very High,Average,0,Yes,4,High School,Single,0.0,Entry,Medium,17.0,No,No,Yes,Excellent,High,Left
4912,57,Female,17,Finance,8591.0,Fair,Low,Below Average,1,No,78,PhD,Single,6.0,Mid,Medium,50.0,No,No,No,Good,Very High,Stayed
57755,27,Female,8,Technology,10670.0,Good,Very High,Average,0,Yes,94,Master’s Degree,Married,3.0,Entry,Small,11.0,No,No,No,Good,Medium,Left
56729,38,Female,3,Media,6553.0,Good,High,Average,1,Yes,94,Bachelor’s Degree,Married,4.0,Mid,Large,18.0,No,No,No,Fair,Very High,Stayed
8785,56,Male,4,Education,3401.0,Fair,Medium,Average,0,Yes,97,Master’s Degree,Single,3.0,Mid,Large,6.0,No,No,No,Good,Medium,Left
42744,44,Male,1,Healthcare,8521.0,Good,Very High,Average,0,No,95,Associate Degree,Married,1.0,Entry,Medium,43.0,Yes,No,Yes,Poor,Medium,Stayed
41600,23,Female,9,Education,3166.0,Good,High,Below Average,2,No,1,High School,Married,1.0,Entry,Medium,27.0,No,No,Yes,Good,Medium,Stayed
52015,50,Female,23,Education,4806.0,Good,Low,High,0,No,7,High School,Married,0.0,Entry,Medium,25.0,No,No,No,Good,Medium,Left
71157,48,Female,24,Finance,7447.0,Good,High,Average,0,No,98,Bachelor’s Degree,Married,1.0,Mid,Medium,27.0,No,No,No,Good,Low,Stayed
67517,52,Female,14,Healthcare,9327.0,Excellent,Very High,High,1,Yes,25,Associate Degree,Divorced,0.0,Entry,Large,32.0,No,No,No,Fair,Medium,Left
5331,19,Female,1,Healthcare,8632.0,Excellent,Very High,Average,0,No,67,Bachelor’s Degree,Married,0.0,Mid,Medium,17.0,No,No,Yes,Good,Low,Stayed
26539,49,Male,2,Media,5850.0,Good,High,High,0,No,57,Master’s Degree,Single,1.0,Entry,Medium,45.0,No,No,No,Poor,Low,Left
1680,55,Male,5,Technology,7371.0,Good,High,Low,0,Yes,2,Associate Degree,Married,1.0,Mid,Medium,27.0,No,No,No,Excellent,Medium,Left
10709,45,Male,7,Education,4430.0,Excellent,Very High,Below Average,0,No,63,Associate Degree,Married,0.0,Mid,Large,11.0,No,No,No,Good,High,Stayed
3086,55,Male,18,Education,7371.0,Good,High,Average,1,No,67,Associate Degree,Divorced,1.0,Entry,Medium,27.0,No,No,No,Fair,High,Stayed
24172,18,Male,2,Healthcare,8564.0,Fair,High,Below Average,0,No,60,Bachelor’s Degree,Single,0.0,Entry,Medium,5.0,No,No,No,Excellent,High,Left
46131,46,Female,29,Media,7371.0,Good,High,Average,0,No,27,Master’s Degree,Single,1.0,Mid,Medium,27.0,No,No,Yes,Fair,Medium,Stayed
27466,18,Female,5,Technology,9046.0,Good,Low,High,1,No,98,High School,Married,4.0,Mid,Small,13.0,Yes,No,No,Poor,Very High,Stayed
1062,42,Male,15,Media,5958.0,Fair,Very High,Average,1,No,78,Bachelor’s Degree,Single,0.0,Entry,Large,21.0,No,No,No,Good,Low,Left
39167,51,Female,11,Technology,8832.0,Good,Medium,Average,1,No,70,Associate Degree,Married,3.0,Senior,Large,20.0,No,No,No,Good,Low,Stayed
38992,51,Male,3,Media,5417.0,Fair,Very High,High,0,No,79,Associate Degree,Single,0.0,Mid,Medium,51.0,Yes,Yes,No,Good,High,Left
15507,56,Male,44,Healthcare,8492.0,Good,High,Average,1,No,75,Master’s Degree,Single,1.0,Senior,Small,27.0,No,No,Yes,Good,High,Stayed
29440,19,Female,11,Healthcare,9056.0,Poor,Very High,High,1,No,52,Bachelor’s Degree,Married,1.0,Entry,Large,14.0,No,No,No,Excellent,High,Left
8107,45,Female,10,Education,5005.0,Good,Medium,Average,2,Yes,3,Associate Degree,Married,4.0,Senior,Medium,18.0,No,No,No,Good,Low,Stayed
39668,20,Male,10,Technology,8032.0,Fair,High,Average,0,No,55,Master’s Degree,Divorced,4.0,Senior,Large,20.0,No,No,No,Good,Medium,Stayed
30913,33,Male,3,Technology,8701.0,Good,High,Average,2,Yes,27,High School,Divorced,1.0,Mid,Medium,30.0,No,No,No,Fair,Medium,Stayed
49694,39,Male,2,Healthcare,7704.0,Excellent,High,Average,3,No,20,Associate Degree,Married,0.0,Entry,Medium,33.0,No,No,No,Poor,Low,Stayed
54458,35,Male,9,Technology,7486.0,Poor,High,Average,2,No,1,High School,Married,2.0,Senior,Medium,33.0,No,Yes,No,Good,Low,Stayed
47515,23,Male,2,Healthcare,8743.0,Fair,Medium,Average,1,No,93,High School,Married,1.0,Mid,Medium,4.0,No,No,No,Good,Medium,Stayed
70360,41,Female,16,Finance,5921.0,Fair,High,Low,2,Yes,44,Associate Degree,Divorced,3.0,Mid,Large,40.0,No,No,Yes,Good,Low,Left
56432,23,Male,14,Healthcare,7515.0,Excellent,High,Average,1,No,1,High School,Single,0.0,Entry,Large,20.0,No,No,No,Good,Low,Left
70872,30,Male,8,Finance,4600.0,Good,Very High,Average,0,Yes,66,High School,Single,0.0,Mid,Small,22.0,Yes,No,No,Good,High,Stayed
47513,48,Male,2,Media,5963.0,Excellent,High,High,2,Yes,76,High School,Married,6.0,Senior,Medium,15.0,No,No,No,Poor,Medium,Stayed
1979,36,Male,3,Technology,7379.0,Poor,High,High,0,No,76,Associate Degree,Divorced,3.0,Entry,Small,29.0,No,No,No,Good,Medium,Left
74185,36,Female,12,Technology,7371.0,Good,High,High,0,Yes,73,Bachelor’s Degree,Single,1.0,Mid,Medium,27.0,Yes,No,No,Good,Low,Left
58652,39,Male,14,Technology,10965.0,Fair,High,High,2,Yes,12,High School,Married,3.0,Entry,Medium,35.0,Yes,No,No,Good,Very High,Stayed
71196,59,Male,15,Healthcare,7740.0,Good,Low,Average,0,No,77,Associate Degree,Single,4.0,Entry,Medium,37.0,Yes,No,No,Good,High,Stayed
